t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
8.0370,1,-1138.1595,1188.6742,124.5595,10.2706,-11.1762,-0.2084,1.5967,0.0293,0.0462,0.2731
8.0400,1,-1138.1252,1188.6369,124.5588,10.2706,-11.1762,-0.2084,1.5964,0.0292,0.0462,0.2730
8.1000,1,-1137.5225,1187.9534,124.5463,10.2634,-11.1830,-0.2084,1.5816,0.0279,0.0464,0.2713
8.1030,1,-1138.2789,1187.2392,123.9476,9.8450,-11.5409,-0.4861,0.8240,-0.0083,0.0256,0.2842
8.1400,1,-1137.8992,1186.8042,123.9776,9.8521,-11.5442,-0.4635,0.8643,-0.0092,0.0271,0.2657
8.2400,1,-1136.7539,1185.4199,123.9059,9.8884,-11.6163,-0.4711,0.8558,-0.0138,0.0264,-0.0144
8.3000,1,-1136.1564,1184.7270,123.8776,9.8907,-11.6141,-0.4711,0.8710,-0.0155,0.0261,-0.0204
8.3400,1,-1135.6902,1184.1901,123.8072,9.9099,-11.6333,-0.4942,0.8571,-0.0167,0.0243,-0.1290
8.4370,1,-1134.8005,1183.0957,123.0432,9.8720,-11.6165,-0.8393,0.6090,-0.0208,-0.0013,-0.1265
8.4400,1,-1134.1502,1182.4288,122.9616,10.0468,-11.7897,-0.8629,1.1701,-0.0205,-0.0018,-1.0110
8.5000,1,-1133.5454,1181.7234,122.9098,10.0479,-11.7887,-0.8629,1.2170,-0.0223,-0.0029,-1.0328
8.5370,1,-1133.2029,1181.3340,122.3515,10.0330,-11.7642,-1.1193,1.3826,-0.0231,-0.0221,-1.0367
8.5400,1,-1132.3798,1180.4963,122.3082,10.2586,-11.9851,-1.1199,2.3313,-0.0226,-0.0206,-2.1607
8.6400,1,-1130.4432,1178.3199,122.0602,10.5094,-12.2620,-1.1641,3.7162,-0.0264,-0.0246,-3.5702
8.7000,1,-1129.8231,1177.5741,121.9903,10.5034,-12.2678,-1.1641,3.7999,-0.0289,-0.0262,-3.6330
8.7400,1,-1128.9801,1176.6160,121.8897,10.6181,-12.4023,-1.1801,4.4658,-0.0308,-0.0276,-4.3071
8.8400,1,-1128.9022,1176.3820,121.8433,10.3379,-12.1220,-1.1688,3.3019,-0.0345,-0.0315,-3.0207
8.9000,1,-1128.3067,1175.6308,121.7732,10.3238,-12.1356,-1.1688,3.3881,-0.0377,-0.0332,-3.0705
8.9400,1,-1128.6177,1175.8256,121.8127,10.1095,-11.9548,-1.1431,2.5948,-0.0408,-0.0340,-2.1078
9.0400,1,-1127.4004,1174.3478,121.7114,10.1591,-12.0441,-1.1309,3.0021,-0.0459,-0.0354,-2.5072
9.1000,1,-1126.7866,1173.6292,121.6436,10.1614,-12.0418,-1.1309,3.0739,-0.0479,-0.0371,-2.5458
9.1400,1,-1127.6013,1174.3211,121.7171,9.8029,-11.7237,-1.1008,2.0313,-0.0517,-0.0385,-0.8751
9.2370,1,-1125.7310,1174.0587,121.7782,10.3060,-11.2513,-1.0204,1.3745,-0.0106,-0.0353,-0.8891
9.2400,1,-1125.3017,1173.6861,121.8157,10.4292,-11.3378,-0.9926,1.6978,-0.0087,-0.0326,-1.4004
9.3000,1,-1124.6860,1172.9962,121.7561,10.4237,-11.3430,-0.9926,1.7402,-0.0099,-0.0340,-1.4192
9.3400,1,-1125.2086,1173.4776,121.7794,10.1511,-11.0833,-0.9832,1.0855,-0.0115,-0.0362,-0.1054
9.4400,1,-1124.0505,1172.2468,121.6610,10.1950,-11.1146,-0.9899,1.1913,-0.0120,-0.0389,-0.2875
9.5000,1,-1123.4351,1171.5835,121.6016,10.1970,-11.1128,-0.9899,1.2336,-0.0125,-0.0403,-0.2870
9.5400,1,-1121.9638,1170.0759,121.4627,10.5051,-11.4095,-1.0141,2.1617,-0.0119,-0.0408,-1.7931
9.6400,1,-1121.3289,1169.4284,121.4065,10.3938,-11.2622,-1.0024,1.7425,-0.0115,-0.0434,-1.1896
9.7000,1,-1120.6807,1168.7762,121.3463,10.4064,-11.2501,-1.0024,1.7781,-0.0110,-0.0449,-1.2037
9.7400,1,-1120.3480,1168.3368,121.3166,10.3740,-11.2555,-0.9986,1.7686,-0.0132,-0.0456,-1.1470
